id,campaign,floor_tier,type,question,opt1,opt2,opt3,opt4,correct_index,hint,graveyard_label,graveyard_reading,explanation,tags
jp_vocab_301,japanese,1,vocabulary,What does 猫 (neko) mean?,Cat,Dog,Fish,Bird,0,Used in: 猫が好き — I like cats.,猫,neko,猫 is one of the first animals learners encounter. Very common in daily speech.,animal|noun|basic
jp_vocab_302,japanese,1,vocabulary,What does 犬 (inu) mean?,Dog,Cat,Rabbit,Horse,0,Used in: 犬を飼う — To keep a dog.,犬,inu,犬 is the standard word for dog. The counter for small animals is 匹 (hiki).,animal|noun|basic
jp_grammar_301,japanese,2,grammar,Which is the correct polite past form of 食べる?,食べました,食べます,食べた,食べている,0,"食べました = polite past: I ate. Example: 昨日寿司を食べました。",食べる → polite past,tabemashita,The ます past form replaces ます with ました for all verbs.,verb|polite|past|group2
jp_grammar_302,japanese,2,grammar,How do you say 'I was studying' in Japanese?,勉強していました,勉強します,勉強しました,勉強している,0,"ていました = progressive past: was doing something. 勉強していました — I was studying.",勉強する → progressive past,benkyou shite imashita,ていました is formed by て-form + いました. Used for ongoing past actions.,verb|progressive|past|group3
jp_read_301,japanese,3,reading,Read: 彼女は毎朝コーヒーを飲みます。 What does she do every morning?,She drinks coffee,She eats breakfast,She reads a book,She goes for a walk,0,"毎朝 = every morning. 飲みます = drinks. Full: She drinks coffee every morning.",毎朝コーヒーを飲む,Kanojo wa maiasa koohii wo nomimasu,毎朝 (まいあさ) = every morning. コーヒー = coffee. 飲みます = polite present of 飲む.,reading|daily-life|frequency
jp_vocab_303,japanese,1,vocabulary,What does 大きい (ookii) mean?,Big,Small,Fast,Slow,0,Used in: 大きい犬 — A big dog.,大きい,ookii,大きい is an い-adjective meaning large or big. Its opposite is 小さい (chiisai).,adjective|size|basic
jp_vocab_304,japanese,2,vocabulary,What does 難しい (muzukashii) mean?,Difficult,Easy,Interesting,Boring,0,Used in: この問題は難しい — This problem is difficult.,難しい,muzukashii,難しい is an い-adjective. Common in academic settings. Opposite: 簡単 (kantan).,adjective|difficulty|intermediate
jp_grammar_303,japanese,3,grammar,Which particle marks the topic of a sentence?,は,が,を,に,0,"は (wa) marks the topic. Example: 私は学生です — As for me, I am a student.",Topic particle,wa (は),は (topic) differs from が (subject). は emphasises contrast or sets what is being talked about.,particle|topic|core-grammar
jp_grammar_304,japanese,3,grammar,What does ~てもいいです mean?,You may / It is okay to,You must,You should not,You cannot,0,"~てもいいです grants permission. 入ってもいいですか — May I come in?",~てもいいです,te mo ii desu,This pattern is formed from て-form + もいいです. Used to ask or grant permission.,grammar|permission|intermediate
jp_read_302,japanese,4,reading,"Read: 試験が終わったら、友達と映画を見に行きます。 What will happen after the exam?",They will go see a movie with friends,They will study more,They will go home alone,They will take a nap,0,"試験が終わったら = when/after the exam ends. 映画を見に行く = go to see a movie.",試験後の予定,Shiken ga owattara tomodachi to eiga wo mi ni ikimasu,~たら is a conditional meaning when/after. 映画を見に行く = go see a movie (purpose of movement).,reading|conditional|advanced|future-plans
